"DCF_Region","Year","Demographic","Out_of_State","Type of Placement","tot_Value","Measure Type","Variable"
"Other","SFY 2004-2005","White","In State","High Meadows",0,"Number","Children in Placement"
"Other","SFY 2004-2005","White","In State","Independent Living",0,"Number","Children in Placement"
"Other","SFY 2004-2005","White","In State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Other","SFY 2004-2005","White","In State","PDC or Safe Home",1,"Number","Children in Placement"
"Other","SFY 2004-2005","White","In State","Relative Foster Care",1,"Number","Children in Placement"
"Other","SFY 2004-2005","White","In State","Residential Treatment Center",56,"Number","Children in Placement"
"Other","SFY 2004-2005","White","In State","Shelter",0,"Number","Children in Placement"
"Other","SFY 2004-2005","White","In State","Solnit Center",1,"Number","Children in Placement"
"Other","SFY 2004-2005","White","In State","Special Study",0,"Number","Children in Placement"
"Other","SFY 2004-2005","White","In State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Other","SFY 2004-2005","White","In State","Total",69,"Number","Children in Placement"
"Other","SFY 2004-2005","White","Out of State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Other","SFY 2004-2005","White","Out of State","Foster Care",0,"Number","Children in Placement"
"Other","SFY 2004-2005","White","Out of State","Group Home",1,"Number","Children in Placement"
"Other","SFY 2004-2005","White","Out of State","High Meadows",0,"Number","Children in Placement"
"Other","SFY 2004-2005","White","Out of State","Independent Living",0,"Number","Children in Placement"
"Other","SFY 2004-2005","White","Out of State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Other","SFY 2004-2005","White","Out of State","PDC or Safe Home",0,"Number","Children in Placement"
"Other","SFY 2004-2005","White","Out of State","Relative Foster Care",0,"Number","Children in Placement"
"Other","SFY 2004-2005","White","Out of State","Residential Treatment Center",16,"Number","Children in Placement"
"Other","SFY 2004-2005","White","Out of State","Shelter",0,"Number","Children in Placement"
"Other","SFY 2004-2005","White","Out of State","Solnit Center",0,"Number","Children in Placement"
"Other","SFY 2004-2005","White","Out of State","Special Study",0,"Number","Children in Placement"
"Other","SFY 2004-2005","White","Out of State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Other","SFY 2004-2005","White","Out of State","Total",17,"Number","Children in Placement"
"Other","SFY 2005-2006","Black","In State","Connecticut Juvenile Training School",27,"Number","Children in Placement"
"Other","SFY 2005-2006","Black","In State","Foster Care",2,"Number","Children in Placement"
"Other","SFY 2005-2006","Black","In State","Group Home",2,"Number","Children in Placement"
"Other","SFY 2005-2006","Black","In State","High Meadows",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Black","In State","Independent Living",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Black","In State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Black","In State","PDC or Safe Home",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Black","In State","Relative Foster Care",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Black","In State","Residential Treatment Center",35,"Number","Children in Placement"
"Other","SFY 2005-2006","Black","In State","Shelter",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Black","In State","Solnit Center",1,"Number","Children in Placement"
"Other","SFY 2005-2006","Black","In State","Special Study",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Black","In State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Black","In State","Total",67,"Number","Children in Placement"
"Other","SFY 2005-2006","Black","Out of State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Black","Out of State","Foster Care",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Black","Out of State","Group Home",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Black","Out of State","High Meadows",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Black","Out of State","Independent Living",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Black","Out of State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Black","Out of State","PDC or Safe Home",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Black","Out of State","Relative Foster Care",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Black","Out of State","Residential Treatment Center",3,"Number","Children in Placement"
"Other","SFY 2005-2006","Black","Out of State","Shelter",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Black","Out of State","Solnit Center",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Black","Out of State","Special Study",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Black","Out of State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Black","Out of State","Total",3,"Number","Children in Placement"
"Other","SFY 2005-2006","Hispanic","In State","Connecticut Juvenile Training School",16,"Number","Children in Placement"
"Other","SFY 2005-2006","Hispanic","In State","Foster Care",2,"Number","Children in Placement"
"Other","SFY 2005-2006","Hispanic","In State","Group Home",1,"Number","Children in Placement"
"Other","SFY 2005-2006","Hispanic","In State","High Meadows",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Hispanic","In State","Independent Living",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Hispanic","In State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Hispanic","In State","PDC or Safe Home",1,"Number","Children in Placement"
"Other","SFY 2005-2006","Hispanic","In State","Relative Foster Care",1,"Number","Children in Placement"
"Other","SFY 2005-2006","Hispanic","In State","Residential Treatment Center",28,"Number","Children in Placement"
"Other","SFY 2005-2006","Hispanic","In State","Shelter",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Hispanic","In State","Solnit Center",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Hispanic","In State","Special Study",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Hispanic","In State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Hispanic","In State","Total",49,"Number","Children in Placement"
"Other","SFY 2005-2006","Hispanic","Out of State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Hispanic","Out of State","Foster Care",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Hispanic","Out of State","Group Home",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Hispanic","Out of State","High Meadows",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Hispanic","Out of State","Independent Living",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Hispanic","Out of State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Hispanic","Out of State","PDC or Safe Home",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Hispanic","Out of State","Relative Foster Care",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Hispanic","Out of State","Residential Treatment Center",4,"Number","Children in Placement"
"Other","SFY 2005-2006","Hispanic","Out of State","Shelter",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Hispanic","Out of State","Solnit Center",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Hispanic","Out of State","Special Study",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Hispanic","Out of State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Hispanic","Out of State","Total",4,"Number","Children in Placement"
"Other","SFY 2005-2006","Other","In State","Connecticut Juvenile Training School",3,"Number","Children in Placement"
"Other","SFY 2005-2006","Other","In State","Foster Care",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Other","In State","Group Home",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Other","In State","High Meadows",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Other","In State","Independent Living",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Other","In State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Other","In State","PDC or Safe Home",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Other","In State","Relative Foster Care",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Other","In State","Residential Treatment Center",12,"Number","Children in Placement"
"Other","SFY 2005-2006","Other","In State","Shelter",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Other","In State","Solnit Center",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Other","In State","Special Study",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Other","In State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Other","In State","Total",15,"Number","Children in Placement"
"Other","SFY 2005-2006","Other","Out of State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Other","Out of State","Foster Care",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Other","Out of State","Group Home",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Other","Out of State","High Meadows",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Other","Out of State","Independent Living",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Other","Out of State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Other","Out of State","PDC or Safe Home",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Other","Out of State","Relative Foster Care",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Other","Out of State","Residential Treatment Center",1,"Number","Children in Placement"
"Other","SFY 2005-2006","Other","Out of State","Shelter",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Other","Out of State","Solnit Center",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Other","Out of State","Special Study",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Other","Out of State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Other","Out of State","Total",1,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","In State","Connecticut Juvenile Training School",51,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","In State","Foster Care",6,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","In State","Group Home",7,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","In State","High Meadows",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","In State","Independent Living",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","In State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","In State","PDC or Safe Home",1,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","In State","Relative Foster Care",6,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","In State","Residential Treatment Center",115,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","In State","Shelter",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","In State","Solnit Center",1,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","In State","Special Study",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","In State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","In State","Total",187,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","Out of State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","Out of State","Foster Care",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","Out of State","Group Home",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","Out of State","High Meadows",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","Out of State","Independent Living",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","Out of State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","Out of State","PDC or Safe Home",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","Out of State","Relative Foster Care",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","Out of State","Residential Treatment Center",15,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","Out of State","Shelter",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","Out of State","Solnit Center",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","Out of State","Special Study",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","Out of State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","Out of State","Total",15,"Number","Children in Placement"
"Other","SFY 2005-2006","White","In State","Connecticut Juvenile Training School",5,"Number","Children in Placement"
"Other","SFY 2005-2006","White","In State","Foster Care",2,"Number","Children in Placement"
"Other","SFY 2005-2006","White","In State","Group Home",4,"Number","Children in Placement"
"Other","SFY 2005-2006","White","In State","High Meadows",0,"Number","Children in Placement"
"Other","SFY 2005-2006","White","In State","Independent Living",0,"Number","Children in Placement"
"Other","SFY 2005-2006","White","In State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Other","SFY 2005-2006","White","In State","PDC or Safe Home",0,"Number","Children in Placement"
"Other","SFY 2005-2006","White","In State","Relative Foster Care",5,"Number","Children in Placement"
"Other","SFY 2005-2006","White","In State","Residential Treatment Center",40,"Number","Children in Placement"
"Other","SFY 2005-2006","White","In State","Shelter",0,"Number","Children in Placement"
"Other","SFY 2005-2006","White","In State","Solnit Center",0,"Number","Children in Placement"
"Other","SFY 2005-2006","White","In State","Special Study",0,"Number","Children in Placement"
"Other","SFY 2005-2006","White","In State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Other","SFY 2005-2006","White","In State","Total",56,"Number","Children in Placement"
"Other","SFY 2005-2006","White","Out of State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Other","SFY 2005-2006","White","Out of State","Foster Care",0,"Number","Children in Placement"
"Other","SFY 2005-2006","White","Out of State","Group Home",0,"Number","Children in Placement"
"Other","SFY 2005-2006","White","Out of State","High Meadows",0,"Number","Children in Placement"
"Other","SFY 2005-2006","White","Out of State","Independent Living",0,"Number","Children in Placement"
"Other","SFY 2005-2006","White","Out of State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Other","SFY 2005-2006","White","Out of State","PDC or Safe Home",0,"Number","Children in Placement"
"Other","SFY 2005-2006","White","Out of State","Relative Foster Care",0,"Number","Children in Placement"
"Other","SFY 2005-2006","White","Out of State","Residential Treatment Center",7,"Number","Children in Placement"
"Other","SFY 2005-2006","White","Out of State","Shelter",0,"Number","Children in Placement"
"Other","SFY 2005-2006","White","Out of State","Solnit Center",0,"Number","Children in Placement"
"Other","SFY 2005-2006","White","Out of State","Special Study",0,"Number","Children in Placement"
"Other","SFY 2005-2006","White","Out of State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Other","SFY 2005-2006","White","Out of State","Total",7,"Number","Children in Placement"
"Other","SFY 2006-2007","Black","In State","Connecticut Juvenile Training School",28,"Number","Children in Placement"
"Other","SFY 2006-2007","Black","In State","Foster Care",0,"Number","Children in Placement"
"Other","SFY 2006-2007","Black","In State","Group Home",3,"Number","Children in Placement"
"Other","SFY 2006-2007","Black","In State","High Meadows",0,"Number","Children in Placement"
"Other","SFY 2006-2007","Black","In State","Independent Living",0,"Number","Children in Placement"
"Other","SFY 2006-2007","Black","In State","Medical or Psychiatric Hospital Placement",1,"Number","Children in Placement"
"Other","SFY 2006-2007","Black","In State","PDC or Safe Home",0,"Number","Children in Placement"
"Other","SFY 2006-2007","Black","In State","Relative Foster Care",0,"Number","Children in Placement"
"Other","SFY 2006-2007","Black","In State","Residential Treatment Center",27,"Number","Children in Placement"
"Other","SFY 2006-2007","Black","In State","Shelter",0,"Number","Children in Placement"
"Other","SFY 2006-2007","Black","In State","Solnit Center",1,"Number","Children in Placement"
"Other","SFY 2006-2007","Black","In State","Special Study",0,"Number","Children in Placement"
"Other","SFY 2006-2007","Black","In State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Other","SFY 2006-2007","Black","In State","Total",60,"Number","Children in Placement"
"Other","SFY 2006-2007","Black","Out of State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Other","SFY 2006-2007","Black","Out of State","Foster Care",0,"Number","Children in Placement"
"Other","SFY 2006-2007","Black","Out of State","Group Home",0,"Number","Children in Placement"
"Other","SFY 2006-2007","Black","Out of State","High Meadows",0,"Number","Children in Placement"
"Other","SFY 2006-2007","Black","Out of State","Independent Living",0,"Number","Children in Placement"
"Other","SFY 2006-2007","Black","Out of State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Other","SFY 2006-2007","Black","Out of State","PDC or Safe Home",0,"Number","Children in Placement"
"Other","SFY 2006-2007","Black","Out of State","Relative Foster Care",0,"Number","Children in Placement"
"Other","SFY 2006-2007","Black","Out of State","Residential Treatment Center",8,"Number","Children in Placement"
"Other","SFY 2006-2007","Black","Out of State","Shelter",0,"Number","Children in Placement"
"Other","SFY 2006-2007","Black","Out of State","Solnit Center",0,"Number","Children in Placement"
"Other","SFY 2006-2007","Black","Out of State","Special Study",0,"Number","Children in Placement"
"Other","SFY 2006-2007","Black","Out of State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Other","SFY 2006-2007","Black","Out of State","Total",8,"Number","Children in Placement"
"Other","SFY 2006-2007","Hispanic","In State","Connecticut Juvenile Training School",12,"Number","Children in Placement"
"Other","SFY 2006-2007","Hispanic","In State","Foster Care",0,"Number","Children in Placement"
"Other","SFY 2006-2007","Hispanic","In State","Group Home",4,"Number","Children in Placement"
"Other","SFY 2006-2007","Hispanic","In State","High Meadows",0,"Number","Children in Placement"
"Other","SFY 2006-2007","Hispanic","In State","Independent Living",0,"Number","Children in Placement"
"Other","SFY 2006-2007","Hispanic","In State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Other","SFY 2006-2007","Hispanic","In State","PDC or Safe Home",0,"Number","Children in Placement"
"Other","SFY 2006-2007","Hispanic","In State","Relative Foster Care",3,"Number","Children in Placement"
"Other","SFY 2006-2007","Hispanic","In State","Residential Treatment Center",21,"Number","Children in Placement"
"Other","SFY 2006-2007","Hispanic","In State","Shelter",0,"Number","Children in Placement"
