"Region","Year","Race/Ethnicity","Location of Placement","Type of Placement","Measure Type","Variable","Value"
"Region 1: Southwest","SFY 2004-2005","Black","In State","Relative Foster Care","Number","Children in Placement",71
"Region 1: Southwest","SFY 2004-2005","Black","In State","Special Study","Number","Children in Placement",3
"Region 1: Southwest","SFY 2004-2005","Black","In State","Therapeutic Foster Care","Number","Children in Placement",32
"Region 1: Southwest","SFY 2004-2005","Black","In State","PDC or Safe Home","Number","Children in Placement",7
"Region 1: Southwest","SFY 2004-2005","Black","In State","Shelter","Number","Children in Placement",7
"Region 1: Southwest","SFY 2004-2005","Black","In State","Group Home","Number","Children in Placement",15
"Region 1: Southwest","SFY 2004-2005","Black","In State","Residential Treatment Center","Number","Children in Placement",32
"Region 1: Southwest","SFY 2004-2005","Black","In State","High Meadows","Number","Children in Placement",3
"Region 1: Southwest","SFY 2004-2005","Black","In State","Solnit Center","Number","Children in Placement",2
"Region 1: Southwest","SFY 2004-2005","Black","In State","Connecticut Juvenile Training School","Number","Children in Placement",1
"Region 1: Southwest","SFY 2004-2005","Black","In State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",1
"Region 1: Southwest","SFY 2004-2005","Black","In State","Independent Living","Number","Children in Placement",6
"Region 1: Southwest","SFY 2004-2005","Black","In State","Total","Number","Children in Placement",310
"Region 1: Southwest","SFY 2004-2005","Black","Out of State","Foster Care","Number","Children in Placement",3
"Region 1: Southwest","SFY 2004-2005","Black","Out of State","Relative Foster Care","Number","Children in Placement",8
"Region 1: Southwest","SFY 2004-2005","Black","Out of State","Special Study","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Black","Out of State","Therapeutic Foster Care","Number","Children in Placement",6
"Region 1: Southwest","SFY 2004-2005","Black","Out of State","PDC or Safe Home","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Black","Out of State","Shelter","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Black","Out of State","Group Home","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Black","Out of State","Residential Treatment Center","Number","Children in Placement",23
"Region 1: Southwest","SFY 2004-2005","Black","Out of State","High Meadows","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Black","Out of State","Solnit Center","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Black","Out of State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Black","Out of State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Black","Out of State","Independent Living","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Black","Out of State","Total","Number","Children in Placement",40
"Region 1: Southwest","SFY 2004-2005","Hispanic","In State","Foster Care","Number","Children in Placement",77
"Region 1: Southwest","SFY 2004-2005","Hispanic","In State","Relative Foster Care","Number","Children in Placement",38
"Region 1: Southwest","SFY 2004-2005","Hispanic","In State","Special Study","Number","Children in Placement",11
"Region 1: Southwest","SFY 2004-2005","Hispanic","In State","Therapeutic Foster Care","Number","Children in Placement",17
"Region 1: Southwest","SFY 2004-2005","Hispanic","In State","PDC or Safe Home","Number","Children in Placement",4
"Region 1: Southwest","SFY 2004-2005","Hispanic","In State","Shelter","Number","Children in Placement",3
"Region 1: Southwest","SFY 2004-2005","Hispanic","In State","Group Home","Number","Children in Placement",11
"Region 1: Southwest","SFY 2004-2005","Hispanic","In State","Residential Treatment Center","Number","Children in Placement",14
"Region 1: Southwest","SFY 2004-2005","Hispanic","In State","High Meadows","Number","Children in Placement",2
"Region 1: Southwest","SFY 2004-2005","Hispanic","In State","Solnit Center","Number","Children in Placement",4
"Region 1: Southwest","SFY 2004-2005","Hispanic","In State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Hispanic","In State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",2
"Region 1: Southwest","SFY 2004-2005","Hispanic","In State","Independent Living","Number","Children in Placement",4
"Region 1: Southwest","SFY 2004-2005","Hispanic","In State","Total","Number","Children in Placement",187
"Region 1: Southwest","SFY 2004-2005","Hispanic","Out of State","Foster Care","Number","Children in Placement",7
"Region 1: Southwest","SFY 2004-2005","Hispanic","Out of State","Relative Foster Care","Number","Children in Placement",2
"Region 1: Southwest","SFY 2004-2005","Hispanic","Out of State","Special Study","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Hispanic","Out of State","Therapeutic Foster Care","Number","Children in Placement",3
"Region 1: Southwest","SFY 2004-2005","Hispanic","Out of State","PDC or Safe Home","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Hispanic","Out of State","Shelter","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Hispanic","Out of State","Group Home","Number","Children in Placement",1
"Region 1: Southwest","SFY 2004-2005","Hispanic","Out of State","Residential Treatment Center","Number","Children in Placement",14
"Region 1: Southwest","SFY 2004-2005","Hispanic","Out of State","High Meadows","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Hispanic","Out of State","Solnit Center","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Hispanic","Out of State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Hispanic","Out of State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",1
"Region 1: Southwest","SFY 2004-2005","Hispanic","Out of State","Independent Living","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Hispanic","Out of State","Total","Number","Children in Placement",28
"Region 1: Southwest","SFY 2004-2005","Other","In State","Foster Care","Number","Children in Placement",12
"Region 1: Southwest","SFY 2004-2005","Other","In State","Relative Foster Care","Number","Children in Placement",10
"Region 1: Southwest","SFY 2004-2005","Other","In State","Special Study","Number","Children in Placement",1
"Region 1: Southwest","SFY 2004-2005","Other","In State","Therapeutic Foster Care","Number","Children in Placement",4
"Region 1: Southwest","SFY 2004-2005","Other","In State","PDC or Safe Home","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Other","In State","Shelter","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Other","In State","Group Home","Number","Children in Placement",5
"Region 1: Southwest","SFY 2004-2005","Other","In State","Residential Treatment Center","Number","Children in Placement",1
"Region 1: Southwest","SFY 2004-2005","Other","In State","High Meadows","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Other","In State","Solnit Center","Number","Children in Placement",2
"Region 1: Southwest","SFY 2004-2005","Other","In State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Other","In State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Other","In State","Independent Living","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Other","In State","Total","Number","Children in Placement",35
"Region 1: Southwest","SFY 2004-2005","Other","Out of State","Foster Care","Number","Children in Placement",5
"Region 1: Southwest","SFY 2004-2005","Other","Out of State","Relative Foster Care","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Other","Out of State","Special Study","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Other","Out of State","Therapeutic Foster Care","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Other","Out of State","PDC or Safe Home","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Other","Out of State","Shelter","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Other","Out of State","Group Home","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Other","Out of State","Residential Treatment Center","Number","Children in Placement",5
"Region 1: Southwest","SFY 2004-2005","Other","Out of State","High Meadows","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Other","Out of State","Solnit Center","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Other","Out of State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Other","Out of State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Other","Out of State","Independent Living","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Other","Out of State","Total","Number","Children in Placement",10
"Region 1: Southwest","SFY 2004-2005","Total","In State","Foster Care","Number","Children in Placement",257
"Region 1: Southwest","SFY 2004-2005","Total","In State","Relative Foster Care","Number","Children in Placement",138
"Region 1: Southwest","SFY 2004-2005","Total","In State","Special Study","Number","Children in Placement",19
"Region 1: Southwest","SFY 2004-2005","Total","In State","Therapeutic Foster Care","Number","Children in Placement",56
"Region 1: Southwest","SFY 2004-2005","Total","In State","PDC or Safe Home","Number","Children in Placement",18
"Region 1: Southwest","SFY 2004-2005","Total","In State","Shelter","Number","Children in Placement",12
"Region 1: Southwest","SFY 2004-2005","Total","In State","Group Home","Number","Children in Placement",41
"Region 1: Southwest","SFY 2004-2005","Total","In State","Residential Treatment Center","Number","Children in Placement",60
"Region 1: Southwest","SFY 2004-2005","Total","In State","High Meadows","Number","Children in Placement",5
"Region 1: Southwest","SFY 2004-2005","Total","In State","Solnit Center","Number","Children in Placement",10
"Region 1: Southwest","SFY 2004-2005","Total","In State","Connecticut Juvenile Training School","Number","Children in Placement",1
"Region 1: Southwest","SFY 2004-2005","Total","In State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",3
"Region 1: Southwest","SFY 2004-2005","Total","In State","Independent Living","Number","Children in Placement",11
"Region 1: Southwest","SFY 2004-2005","Total","In State","Total","Number","Children in Placement",631
"Region 1: Southwest","SFY 2004-2005","Total","Out of State","Foster Care","Number","Children in Placement",19
"Region 1: Southwest","SFY 2004-2005","Total","Out of State","Relative Foster Care","Number","Children in Placement",10
"Region 1: Southwest","SFY 2004-2005","Total","Out of State","Special Study","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Total","Out of State","Therapeutic Foster Care","Number","Children in Placement",11
"Region 1: Southwest","SFY 2004-2005","Total","Out of State","PDC or Safe Home","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Total","Out of State","Shelter","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Total","Out of State","Group Home","Number","Children in Placement",1
"Region 1: Southwest","SFY 2004-2005","Total","Out of State","Residential Treatment Center","Number","Children in Placement",56
"Region 1: Southwest","SFY 2004-2005","Total","Out of State","High Meadows","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Total","Out of State","Solnit Center","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Total","Out of State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Total","Out of State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",1
"Region 1: Southwest","SFY 2004-2005","Total","Out of State","Independent Living","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Total","Out of State","Total","Number","Children in Placement",98
"Region 1: Southwest","SFY 2005-2006","White","In State","Foster Care","Number","Children in Placement",38
"Region 1: Southwest","SFY 2005-2006","White","In State","Relative Foster Care","Number","Children in Placement",22
"Region 1: Southwest","SFY 2005-2006","White","In State","Special Study","Number","Children in Placement",7
"Region 1: Southwest","SFY 2005-2006","White","In State","Therapeutic Foster Care","Number","Children in Placement",14
"Region 1: Southwest","SFY 2005-2006","White","In State","PDC or Safe Home","Number","Children in Placement",2
"Region 1: Southwest","SFY 2005-2006","White","In State","Shelter","Number","Children in Placement",8
"Region 1: Southwest","SFY 2005-2006","White","In State","Group Home","Number","Children in Placement",10
"Region 1: Southwest","SFY 2005-2006","White","In State","Residential Treatment Center","Number","Children in Placement",20
"Region 1: Southwest","SFY 2005-2006","White","In State","High Meadows","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","White","In State","Solnit Center","Number","Children in Placement",3
"Region 1: Southwest","SFY 2005-2006","White","In State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","White","In State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","White","In State","Independent Living","Number","Children in Placement",1
"Region 1: Southwest","SFY 2005-2006","White","In State","Total","Number","Children in Placement",125
"Region 1: Southwest","SFY 2005-2006","White","Out of State","Foster Care","Number","Children in Placement",2
"Region 1: Southwest","SFY 2005-2006","White","Out of State","Relative Foster Care","Number","Children in Placement",1
"Region 1: Southwest","SFY 2005-2006","White","Out of State","Special Study","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","White","Out of State","Therapeutic Foster Care","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","White","Out of State","PDC or Safe Home","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","White","Out of State","Shelter","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","White","Out of State","Group Home","Number","Children in Placement",1
"Region 1: Southwest","SFY 2005-2006","White","Out of State","Residential Treatment Center","Number","Children in Placement",7
"Region 1: Southwest","SFY 2005-2006","White","Out of State","High Meadows","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","White","Out of State","Solnit Center","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","White","Out of State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","White","Out of State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","White","Out of State","Independent Living","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","White","Out of State","Total","Number","Children in Placement",11
"Region 1: Southwest","SFY 2005-2006","Black","In State","Foster Care","Number","Children in Placement",104
"Region 1: Southwest","SFY 2005-2006","Black","In State","Relative Foster Care","Number","Children in Placement",82
"Region 1: Southwest","SFY 2005-2006","Black","In State","Special Study","Number","Children in Placement",4
"Region 1: Southwest","SFY 2005-2006","Black","In State","Therapeutic Foster Care","Number","Children in Placement",51
"Region 1: Southwest","SFY 2005-2006","Black","In State","PDC or Safe Home","Number","Children in Placement",9
"Region 1: Southwest","SFY 2005-2006","Black","In State","Shelter","Number","Children in Placement",4
"Region 1: Southwest","SFY 2005-2006","Black","In State","Group Home","Number","Children in Placement",17
"Region 1: Southwest","SFY 2005-2006","Black","In State","Residential Treatment Center","Number","Children in Placement",30
"Region 1: Southwest","SFY 2005-2006","Black","In State","High Meadows","Number","Children in Placement",2
"Region 1: Southwest","SFY 2005-2006","Black","In State","Solnit Center","Number","Children in Placement",2
"Region 1: Southwest","SFY 2005-2006","Black","In State","Connecticut Juvenile Training School","Number","Children in Placement",5
"Region 1: Southwest","SFY 2005-2006","Black","In State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",2
"Region 1: Southwest","SFY 2005-2006","Black","In State","Independent Living","Number","Children in Placement",7
"Region 1: Southwest","SFY 2005-2006","Black","In State","Total","Number","Children in Placement",319
"Region 1: Southwest","SFY 2005-2006","Black","Out of State","Foster Care","Number","Children in Placement",5
"Region 1: Southwest","SFY 2005-2006","Black","Out of State","Relative Foster Care","Number","Children in Placement",6
"Region 1: Southwest","SFY 2005-2006","Black","Out of State","Special Study","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Black","Out of State","Therapeutic Foster Care","Number","Children in Placement",1
"Region 1: Southwest","SFY 2005-2006","Black","Out of State","PDC or Safe Home","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Black","Out of State","Shelter","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Black","Out of State","Group Home","Number","Children in Placement",1
"Region 1: Southwest","SFY 2005-2006","Black","Out of State","Residential Treatment Center","Number","Children in Placement",18
"Region 1: Southwest","SFY 2005-2006","Black","Out of State","High Meadows","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Black","Out of State","Solnit Center","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Black","Out of State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Black","Out of State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",1
"Region 1: Southwest","SFY 2005-2006","Black","Out of State","Independent Living","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Black","Out of State","Total","Number","Children in Placement",32
"Region 1: Southwest","SFY 2005-2006","Hispanic","In State","Foster Care","Number","Children in Placement",101
"Region 1: Southwest","SFY 2005-2006","Hispanic","In State","Relative Foster Care","Number","Children in Placement",44
"Region 1: Southwest","SFY 2005-2006","Hispanic","In State","Special Study","Number","Children in Placement",8
"Region 1: Southwest","SFY 2005-2006","Hispanic","In State","Therapeutic Foster Care","Number","Children in Placement",18
"Region 1: Southwest","SFY 2005-2006","Hispanic","In State","PDC or Safe Home","Number","Children in Placement",2
"Region 1: Southwest","SFY 2005-2006","Hispanic","In State","Shelter","Number","Children in Placement",3
"Region 1: Southwest","SFY 2005-2006","Hispanic","In State","Group Home","Number","Children in Placement",13
"Region 1: Southwest","SFY 2005-2006","Hispanic","In State","Residential Treatment Center","Number","Children in Placement",20
"Region 1: Southwest","SFY 2005-2006","Hispanic","In State","High Meadows","Number","Children in Placement",3
"Region 1: Southwest","SFY 2005-2006","Hispanic","In State","Solnit Center","Number","Children in Placement",2
"Region 1: Southwest","SFY 2005-2006","Hispanic","In State","Connecticut Juvenile Training School","Number","Children in Placement",2
"Region 1: Southwest","SFY 2005-2006","Hispanic","In State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",2
"Region 1: Southwest","SFY 2005-2006","Hispanic","In State","Independent Living","Number","Children in Placement",5
"Region 1: Southwest","SFY 2005-2006","Hispanic","In State","Total","Number","Children in Placement",223
"Region 1: Southwest","SFY 2005-2006","Hispanic","Out of State","Foster Care","Number","Children in Placement",2
"Region 1: Southwest","SFY 2005-2006","Hispanic","Out of State","Relative Foster Care","Number","Children in Placement",4
"Region 1: Southwest","SFY 2005-2006","Hispanic","Out of State","Special Study","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Hispanic","Out of State","Therapeutic Foster Care","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Hispanic","Out of State","PDC or Safe Home","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Hispanic","Out of State","Shelter","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Hispanic","Out of State","Group Home","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Hispanic","Out of State","Residential Treatment Center","Number","Children in Placement",8
"Region 1: Southwest","SFY 2005-2006","Hispanic","Out of State","High Meadows","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Hispanic","Out of State","Solnit Center","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Hispanic","Out of State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Hispanic","Out of State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Hispanic","Out of State","Independent Living","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Hispanic","Out of State","Total","Number","Children in Placement",14
"Region 1: Southwest","SFY 2005-2006","Other","In State","Foster Care","Number","Children in Placement",7
"Region 1: Southwest","SFY 2005-2006","Other","In State","Relative Foster Care","Number","Children in Placement",4
"Region 1: Southwest","SFY 2005-2006","Other","In State","Special Study","Number","Children in Placement",4
"Region 1: Southwest","SFY 2005-2006","Other","In State","Therapeutic Foster Care","Number","Children in Placement",6
"Region 1: Southwest","SFY 2005-2006","Other","In State","PDC or Safe Home","Number","Children in Placement",3
"Region 1: Southwest","SFY 2005-2006","Other","In State","Shelter","Number","Children in Placement",1
"Region 1: Southwest","SFY 2005-2006","Other","In State","Group Home","Number","Children in Placement",5
"Region 1: Southwest","SFY 2005-2006","Other","In State","Residential Treatment Center","Number","Children in Placement",5
"Region 1: Southwest","SFY 2005-2006","Other","In State","High Meadows","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Other","In State","Solnit Center","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Other","In State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Other","In State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Other","In State","Independent Living","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Other","In State","Total","Number","Children in Placement",35
"Region 1: Southwest","SFY 2005-2006","Other","Out of State","Foster Care","Number","Children in Placement",1
"Region 1: Southwest","SFY 2005-2006","Other","Out of State","Relative Foster Care","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Other","Out of State","Special Study","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Other","Out of State","Therapeutic Foster Care","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Other","Out of State","PDC or Safe Home","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Other","Out of State","Shelter","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Other","Out of State","Group Home","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Other","Out of State","Residential Treatment Center","Number","Children in Placement",2
"Region 1: Southwest","SFY 2005-2006","Other","Out of State","High Meadows","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Other","Out of State","Solnit Center","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Other","Out of State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Other","Out of State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Other","Out of State","Independent Living","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Other","Out of State","Total","Number","Children in Placement",3
"Region 1: Southwest","SFY 2005-2006","Total","In State","Foster Care","Number","Children in Placement",250
"Region 1: Southwest","SFY 2005-2006","Total","In State","Relative Foster Care","Number","Children in Placement",152
"Region 1: Southwest","SFY 2005-2006","Total","In State","Special Study","Number","Children in Placement",23
"Region 1: Southwest","SFY 2005-2006","Total","In State","Therapeutic Foster Care","Number","Children in Placement",89
"Region 1: Southwest","SFY 2005-2006","Total","In State","PDC or Safe Home","Number","Children in Placement",16
"Region 1: Southwest","SFY 2005-2006","Total","In State","Shelter","Number","Children in Placement",16
"Region 1: Southwest","SFY 2005-2006","Total","In State","Group Home","Number","Children in Placement",45
"Region 1: Southwest","SFY 2005-2006","Total","In State","Residential Treatment Center","Number","Children in Placement",75
"Region 1: Southwest","SFY 2005-2006","Total","In State","High Meadows","Number","Children in Placement",5
"Region 1: Southwest","SFY 2005-2006","Total","In State","Solnit Center","Number","Children in Placement",7
"Region 1: Southwest","SFY 2005-2006","Total","In State","Connecticut Juvenile Training School","Number","Children in Placement",7
"Region 1: Southwest","SFY 2005-2006","Total","In State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",4
"Region 1: Southwest","SFY 2005-2006","Total","In State","Independent Living","Number","Children in Placement",13
"Region 1: Southwest","SFY 2005-2006","Total","In State","Total","Number","Children in Placement",702
"Region 1: Southwest","SFY 2005-2006","Total","Out of State","Foster Care","Number","Children in Placement",10
"Region 1: Southwest","SFY 2005-2006","Total","Out of State","Relative Foster Care","Number","Children in Placement",11
"Region 1: Southwest","SFY 2005-2006","Total","Out of State","Special Study","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Total","Out of State","Therapeutic Foster Care","Number","Children in Placement",1
"Region 1: Southwest","SFY 2005-2006","Total","Out of State","PDC or Safe Home","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Total","Out of State","Shelter","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Total","Out of State","Group Home","Number","Children in Placement",2
"Region 1: Southwest","SFY 2005-2006","Total","Out of State","Residential Treatment Center","Number","Children in Placement",35
"Region 1: Southwest","SFY 2005-2006","Total","Out of State","High Meadows","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Total","Out of State","Solnit Center","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Total","Out of State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Total","Out of State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",1
"Region 1: Southwest","SFY 2005-2006","Total","Out of State","Independent Living","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Total","Out of State","Total","Number","Children in Placement",60
"Region 1: Southwest","SFY 2006-2007","White","In State","Foster Care","Number","Children in Placement",32
"Region 1: Southwest","SFY 2006-2007","White","In State","Relative Foster Care","Number","Children in Placement",8
"Region 1: Southwest","SFY 2006-2007","White","In State","Special Study","Number","Children in Placement",6
"Region 1: Southwest","SFY 2006-2007","White","In State","Therapeutic Foster Care","Number","Children in Placement",11
"Region 1: Southwest","SFY 2006-2007","White","In State","PDC or Safe Home","Number","Children in Placement",0
"Region 1: Southwest","SFY 2006-2007","White","In State","Shelter","Number","Children in Placement",1
